293201 	 749 	 0
293209 	 750 	 0
x 	 751 	 x
x 	 752 	 x
x 	 753 	 x
295294 	 754 	 0
x 	 755 	 x
296320 	 756 	 0
296434 	 757 	 0
x 	 758 	 x
297744 	 759 	 0
298039 	 760 	 0
x 	 761 	 x
298739 	 762 	 395.69
299815 	 763 	 1075.48
299884 	 764 	 849.03
x 	 765 	 x
299976 	 766 	 161.162
300077 	 767 	 101.204
300423 	 768 	 0
300902 	 769 	 0
301353 	 770 	 0
301840 	 771 	 0
x 	 772 	 x
302924 	 773 	 0
x 	 774 	 x
303986 	 775 	 0
x 	 776 	 x
304597 	 777 	 0
305161 	 778 	 454.771
x 	 779 	 x
305861 	 780 	 0
307413 	 781 	 951.474
307531 	 782 	 469.117
308801 	 783 	 1388.58
x 	 784 	 x
x 	 785 	 x
309155 	 786 	 1624.71
309520 	 787 	 1469.99
x 	 788 	 x
x 	 789 	 x
x 	 790 	 x
x 	 791 	 x
310609 	 792 	 0
310676 	 793 	 0
312130 	 794 	 921.553
313014 	 795 	 1701.95
313082 	 796 	 1218.58
x 	 797 	 x
x 	 798 	 x
x 	 799 	 x
313939 	 800 	 198.28
314142 	 801 	 203.252
314847 	 802 	 506.382
x 	 803 	 x
x 	 804 	 x
x 	 805 	 x
315871 	 806 	 0
x 	 807 	 x
316941 	 808 	 0
x 	 809 	 x
x 	 810 	 x
x 	 811 	 x
319195 	 812 	 0
319212 	 813 	 0
x 	 814 	 x
319723 	 815 	 0
320307 	 816 	 0
x 	 817 	 x
x 	 818 	 x
321870 	 819 	 0
322182 	 820 	 0
322242 	 821 	 0
x 	 822 	 x
x 	 823 	 x
323274 	 824 	 0
x 	 825 	 x
324326 	 826 	 0
324926 	 827 	 0
325526 	 828 	 0
x 	 829 	 x
326507 	 830 	 381.112
x 	 831 	 x
x 	 832 	 x
327263 	 833 	 0
x 	 834 	 x
327995 	 835 	 107.28
328829 	 836 	 834.455
328919 	 837 	 431.905
x 	 838 	 x
x 	 839 	 x
328983 	 840 	 63.4325
x 	 841 	 x
x 	 842 	 x
330845 	 843 	 0
331445 	 844 	 0
332045 	 845 	 0
332953 	 846 	 0
x 	 847 	 x
x 	 848 	 x
333005 	 849 	 0
333287 	 850 	 0
333747 	 851 	 0
x 	 852 	 x
x 	 853 	 x
x 	 854 	 x
335518 	 855 	 0
336118 	 856 	 0
337620 	 857 	 902.047
338409 	 858 	 1090.83
x 	 859 	 x
340453 	 860 	 2833.33
x 	 861 	 x
341386 	 862 	 3468.39
344753 	 863 	 6511.61
x 	 864 	 x
x 	 865 	 x
x 	 866 	 x
344914 	 867 	 4561.78
x 	 868 	 x
x 	 869 	 x
x 	 870 	 x
x 	 871 	 x
345321 	 872 	 3175.65
347631 	 873 	 2309.6
x 	 874 	 x
x 	 875 	 x
348260 	 876 	 2746.12
348461 	 877 	 2539.29
x 	 878 	 x
x 	 879 	 x
x 	 880 	 x
351026 	 881 	 4912.5
353690 	 882 	 5229.24
356122 	 883 	 4495.72
x 	 884 	 x
357232 	 885 	 509.581
x 	 886 	 x
358275 	 887 	 0
358483 	 888 	 0
358971 	 889 	 96.0239
359307 	 890 	 336.558
x 	 891 	 x
x 	 892 	 x
x 	 893 	 x
359690 	 894 	 607.379
360646 	 895 	 1338.62
x 	 896 	 x
x 	 897 	 x
361012 	 898 	 1537.81
361766 	 899 	 2194.92
x 	 900 	 x
363022 	 901 	 3338.77
363198 	 902 	 3507.37
x 	 903 	 x
363220 	 904 	 3313.24
363317 	 905 	 119.697
364532 	 906 	 1311.94
364624 	 907 	 1306.29
365025 	 908 	 1403.34
367382 	 909 	 3584.24
367801 	 910 	 3981
367925 	 911 	 4007.19
x 	 912 	 x
368226 	 913 	 424.725
x 	 914 	 x
x 	 915 	 x
369145 	 916 	 1220.11
x 	 917 	 x
369212 	 918 	 1229.72
x 	 919 	 x
369684 	 920 	 1458.05
x 	 921 	 x
369779 	 922 	 1377.27
369932 	 923 	 1407.45
370303 	 924 	 1721.28
370725 	 925 	 1898.87
371030 	 926 	 2028.05
372789 	 927 	 3010.72
373399 	 928 	 3115
x 	 929 	 x
x 	 930 	 x
x 	 931 	 x
x 	 932 	 x
373469 	 933 	 3165.3
374733 	 934 	 1343.28
374802 	 935 	 1402.68
375496 	 936 	 2027.85
376106 	 937 	 2116.9
377302 	 938 	 3302.56
x 	 939 	 x
x 	 940 	 x
x 	 941 	 x
377461 	 942 	 3392.73
378704 	 943 	 2607.5
379182 	 944 	 3075.31
379224 	 945 	 42.5264
x 	 946 	 x
380509 	 947 	 1284.68
x 	 948 	 x
381893 	 949 	 2589.47
x 	 950 	 x
382494 	 951 	 2711.95
x 	 952 	 x
386061 	 953 	 6236.8
x 	 954 	 x
388819 	 955 	 8915.58
x 	 956 	 x
x 	 957 	 x
389992 	 958 	 9610.01
x 	 959 	 x
390865 	 960 	 10440.4
x 	 961 	 x
391007 	 962 	 10503.4
391210 	 963 	 8716.43
x 	 964 	 x
x 	 965 	 x
x 	 966 	 x
391475 	 967 	 8981.38
391542 	 968 	 4880.64
x 	 969 	 x
392541 	 970 	 5280.13
392959 	 971 	 1749.58
x 	 972 	 x
x 	 973 	 x
393091 	 974 	 1616.42
393247 	 975 	 0
x 	 976 	 x
393717 	 977 	 25.1169
394371 	 978 	 524.065
x 	 979 	 x
x 	 980 	 x
394644 	 981 	 327.499
394892 	 982 	 520.614
396001 	 983 	 1553.25
x 	 984 	 x
396079 	 985 	 1435.12
x 	 986 	 x
x 	 987 	 x
396710 	 988 	 1818.38
x 	 989 	 x
397170 	 990 	 2253.62
397197 	 991 	 2225.29
x 	 992 	 x
x 	 993 	 x
x 	 994 	 x
397960 	 995 	 2912.18
x 	 996 	 x
398460 	 997 	 2380.54
399177 	 998 	 2575.88
x 	 999 	 x
x 	 1000 	 x
x 	 1001 	 x
401479 	 1002 	 4800.01
401767 	 1003 	 4570.33
x 	 1004 	 x
x 	 1005 	 x
402057 	 1006 	 4856.11
x 	 1007 	 x
x 	 1008 	 x
402268 	 1009 	 4497.58
x 	 1010 	 x
x 	 1011 	 x
402412 	 1012 	 4615
402865 	 1013 	 3805.03
x 	 1014 	 x
403356 	 1015 	 1299.55
403685 	 1016 	 1416.98
404859 	 1017 	 2492.24
406517 	 1018 	 4104.82
407020 	 1019 	 4363.25
407619 	 1020 	 4754.16
x 	 1021 	 x
408446 	 1022 	 5577.83
x 	 1023 	 x
x 	 1024 	 x
408705 	 1025 	 5737.73
408880 	 1026 	 4595.53
x 	 1027 	 x
409892 	 1028 	 1187.32
x 	 1029 	 x
410067 	 1030 	 1021.81
411663 	 1031 	 2182.82
412267 	 1032 	 2621.3
412514 	 1033 	 2446.56
x 	 1034 	 x
x 	 1035 	 x
413762 	 1036 	 648.299
414560 	 1037 	 846.348
x 	 1038 	 x
414821 	 1039 	 0
x 	 1040 	 x
415326 	 1041 	 166.038
416100 	 1042 	 773.35
416651 	 1043 	 1229.9
416952 	 1044 	 1192.03
x 	 1045 	 x
418277 	 1046 	 2350.48
418387 	 1047 	 2365.93
418501 	 1048 	 2401.68
x 	 1049 	 x
419117 	 1050 	 1564.81
x 	 1051 	 x
419405 	 1052 	 1252.8
419756 	 1053 	 1479.33
x 	 1054 	 x
x 	 1055 	 x
x 	 1056 	 x
420007 	 1057 	 1619.42
420567 	 1058 	 1161.58
x 	 1059 	 x
x 	 1060 	 x
x 	 1061 	 x
421339 	 1062 	 1621.66
x 	 1063 	 x
422181 	 1064 	 2176.19
422671 	 1065 	 2664.81
x 	 1066 	 x
x 	 1067 	 x
x 	 1068 	 x
x 	 1069 	 x
x 	 1070 	 x
423623 	 1071 	 2405.48
424194 	 1072 	 2855.5
427641 	 1073 	 5823.58
x 	 1074 	 x
