418152 	 1053 	 5224.33
x 	 1054 	 x
x 	 1055 	 x
x 	 1056 	 x
418277 	 1057 	 3971.12
419117 	 1058 	 4359.95
x 	 1059 	 x
x 	 1060 	 x
x 	 1061 	 x
419405 	 1062 	 2756.85
x 	 1063 	 x
419756 	 1064 	 2111.78
420005 	 1065 	 2091.79
x 	 1066 	 x
x 	 1067 	 x
x 	 1068 	 x
x 	 1069 	 x
x 	 1070 	 x
420617 	 1071 	 0
421217 	 1072 	 232.118
421483 	 1073 	 0
x 	 1074 	 x
422109 	 1075 	 0
422671 	 1076 	 202.722
x 	 1077 	 x
427641 	 1078 	 4281.78
x 	 1079 	 x
428241 	 1080 	 4108.58
428431 	 1081 	 3946.8
x 	 1082 	 x
x 	 1083 	 x
x 	 1084 	 x
x 	 1085 	 x
x 	 1086 	 x
x 	 1087 	 x
x 	 1088 	 x
428734 	 1089 	 868.362
x 	 1090 	 x
429796 	 1091 	 893.246
430309 	 1092 	 909.146
x 	 1093 	 x
430396 	 1094 	 175.142
x 	 1095 	 x
x 	 1096 	 x
431371 	 1097 	 0
431784 	 1098 	 0
432082 	 1099 	 0
x 	 1100 	 x
432632 	 1101 	 0
433123 	 1102 	 0
433581 	 1103 	 0
433984 	 1104 	 0
434447 	 1105 	 0
x 	 1106 	 x
435289 	 1107 	 0
x 	 1108 	 x
435934 	 1109 	 0
436504 	 1110 	 0
437026 	 1111 	 0
x 	 1112 	 x
437679 	 1113 	 0
438192 	 1114 	 0
438505 	 1115 	 0
x 	 1116 	 x
439436 	 1117 	 0
439931 	 1118 	 334.273
x 	 1119 	 x
440426 	 1120 	 0
440593 	 1121 	 0
x 	 1122 	 x
x 	 1123 	 x
441781 	 1124 	 0
x 	 1125 	 x
x 	 1126 	 x
x 	 1127 	 x
x 	 1128 	 x
x 	 1129 	 x
x 	 1130 	 x
445062 	 1131 	 0
445662 	 1132 	 81.7825
446262 	 1133 	 400.753
x 	 1134 	 x
x 	 1135 	 x
x 	 1136 	 x
x 	 1137 	 x
447858 	 1138 	 0
x 	 1139 	 x
x 	 1140 	 x
449240 	 1141 	 0
449840 	 1142 	 258.606
x 	 1143 	 x
450440 	 1144 	 121.295
451040 	 1145 	 371.695
x 	 1146 	 x
x 	 1147 	 x
451746 	 1148 	 0
x 	 1149 	 x
452617 	 1150 	 0
x 	 1151 	 x
453285 	 1152 	 0
x 	 1153 	 x
454170 	 1154 	 0
x 	 1155 	 x
x 	 1156 	 x
455376 	 1157 	 0
455764 	 1158 	 233.321
455976 	 1159 	 11.6157
456406 	 1160 	 0
456690 	 1161 	 0
457203 	 1162 	 0
x 	 1163 	 x
x 	 1164 	 x
x 	 1165 	 x
458678 	 1166 	 0
459278 	 1167 	 93.3547
